Left,Right
"[0.48547372221946716, 0.28356367349624634, 1.2531634752122045e-07, 0.5359488129615784, 0.30979472398757935, -0.011541354469954967, 0.5654051303863525, 0.37240487337112427, -0.01703425869345665, 0.5860979557037354, 0.4328277111053467, -0.020060749724507332, 0.6049388647079468, 0.4762336015701294, -0.022874249145388603, 0.5388407111167908, 0.4603530168533325, -0.018969031050801277, 0.5673578381538391, 0.527519702911377, -0.02500593662261963, 0.5852460861206055, 0.5660268664360046, -0.028198283165693283, 0.5985151529312134, 0.5975030064582825, -0.030874837189912796, 0.5090281963348389, 0.48225781321525574, -0.018776731565594673, 0.5209559798240662, 0.5769264101982117, -0.026151105761528015, 0.5284150838851929, 0.6356164813041687, -0.0317523218691349, 0.5338363647460938, 0.6811090111732483, -0.03581627085804939, 0.4825313687324524, 0.4828091859817505, -0.01888991892337799, 0.483168363571167, 0.5779630541801453, -0.029899103567004204, 0.4800337553024292, 0.6373482942581177, -0.03850758075714111, 0.47662466764450073, 0.6849782466888428, -0.0437065027654171, 0.4603841006755829, 0.46917638182640076, -0.01888311840593815, 0.45035266876220703, 0.5472553372383118, -0.02960222400724888, 0.43918415904045105, 0.5915782451629639, -0.03434480354189873, 0.4284580945968628, 0.6292057037353516, -0.03677437826991081]",[]
"[0.4824017882347107, 0.25532060861587524, 1.5523204410783364e-07, 0.5363791584968567, 0.2834644913673401, -0.013957406394183636, 0.5665944814682007, 0.35694241523742676, -0.020456820726394653, 0.5869140028953552, 0.4340284764766693, -0.023625290021300316, 0.6082769632339478, 0.4902242422103882, -0.026390070095658302, 0.540870726108551, 0.44614386558532715, -0.019488343968987465, 0.5617685317993164, 0.5334558486938477, -0.02559991367161274, 0.5712929964065552, 0.585471510887146, -0.02863617241382599, 0.5767872333526611, 0.6281207203865051, -0.031335167586803436, 0.5082132816314697, 0.46361243724823, -0.018093036487698555, 0.5209289789199829, 0.561523973941803, -0.025586668401956558, 0.5274083018302917, 0.6202208399772644, -0.03114824928343296, 0.5315054655075073, 0.6656962633132935, -0.03545878455042839, 0.4794585406780243, 0.46237024664878845, -0.017492061480879784, 0.484937459230423, 0.5668830871582031, -0.029523011296987534, 0.4842740297317505, 0.6349011659622192, -0.039176519960165024, 0.4821087121963501, 0.6890195608139038, -0.045415982604026794, 0.4553419053554535, 0.45084020495414734, -0.016802603378891945, 0.4485974609851837, 0.5361313819885254, -0.028609920293092728, 0.43961694836616516, 0.5863620042800903, -0.03526725992560387, 0.4305765926837921, 0.6292906403541565, -0.0394941084086895]",[]
"[0.5053189992904663, 0.28914594650268555, 5.59384091047832e-07, 0.555643618106842, 0.30960720777511597, -0.04138347506523132, 0.5835423469543457, 0.3765202760696411, -0.0614074282348156, 0.6001875996589661, 0.45019465684890747, -0.07144471257925034, 0.6209410429000854, 0.5134254097938538, -0.08087273687124252, 0.5402269959449768, 0.4518170952796936, -0.06490876525640488, 0.5421354174613953, 0.5537479519844055, -0.08117809146642685, 0.5453265309333801, 0.6161322593688965, -0.0896560400724411, 0.5475395321846008, 0.6660510897636414, -0.09465251863002777, 0.5141258835792542, 0.4646868109703064, -0.04765255004167557, 0.5054768919944763, 0.5707350969314575, -0.06339000910520554, 0.499128520488739, 0.6399702429771423, -0.06961830705404282, 0.49124741554260254, 0.6890593767166138, -0.07386337220668793, 0.49642038345336914, 0.46050068736076355, -0.03115040995180607, 0.49171170592308044, 0.5557922720909119, -0.04711445793509483, 0.48532921075820923, 0.6265321373939514, -0.05512114614248276, 0.4758562743663788, 0.6778484582901001, -0.059690628200769424, 0.48736572265625, 0.4495721161365509, -0.0163902398198843, 0.4866725206375122, 0.5146635174751282, -0.030447164550423622, 0.4831387996673584, 0.5588995218276978, -0.03673490881919861, 0.4787105917930603, 0.5922125577926636, -0.040390364825725555]",[]
"[0.46333831548690796, 0.2527846693992615, 1.5156852839481871e-07, 0.5148193836212158, 0.28001904487609863, -0.01417035423219204, 0.5463091731071472, 0.3433307409286499, -0.020462876185774803, 0.5701038837432861, 0.40796321630477905, -0.022112391889095306, 0.5914928317070007, 0.46025118231773376, -0.022309906780719757, 0.5162723064422607, 0.43686994910240173, -0.02385897748172283, 0.5496122241020203, 0.5118080973625183, -0.02653440833091736, 0.5679327249526978, 0.5470597147941589, -0.025749189779162407, 0.5812018513679504, 0.5785021781921387, -0.025583043694496155, 0.4863927662372589, 0.4576074779033661, -0.017876243218779564, 0.5029003620147705, 0.5512650012969971, -0.02652113325893879, 0.511422336101532, 0.6050552129745483, -0.03196569159626961, 0.5176255702972412, 0.6488568782806396, -0.035601112991571426, 0.4621850848197937, 0.4549102187156677, -0.011003376916050911, 0.4640926122665405, 0.5452789664268494, -0.022313440218567848, 0.46129295229911804, 0.6039404273033142, -0.030394908040761948, 0.45797592401504517, 0.6517512202262878, -0.03463065251708031, 0.44318798184394836, 0.43990230560302734, -0.003500207792967558, 0.43292945623397827, 0.5122730731964111, -0.012082473374903202, 0.4220138490200043, 0.5540469884872437, -0.015862111002206802, 0.41185182332992554, 0.5895451307296753, -0.017644835636019707]",[]
"[0.45664700865745544, 0.29940247535705566, 1.7103928939832258e-07, 0.50351881980896, 0.32286256551742554, -0.011703691445291042, 0.5395141839981079, 0.37963372468948364, -0.01834561862051487, 0.5692489743232727, 0.43255814909935, -0.02173149213194847, 0.5911799669265747, 0.47846850752830505, -0.024343544617295265, 0.5175389051437378, 0.4655216336250305, -0.02260536514222622, 0.5472034811973572, 0.5344610214233398, -0.030021796002984047, 0.5644111633300781, 0.5694030523300171, -0.032625529915094376, 0.5780100226402283, 0.5965439081192017, -0.0342886708676815, 0.49085214734077454, 0.47802644968032837, -0.020778458565473557, 0.5028682351112366, 0.5740181803703308, -0.029959850013256073, 0.5116277933120728, 0.6289538145065308, -0.03446075692772865, 0.5187242031097412, 0.6687725186347961, -0.03698791190981865, 0.4652577340602875, 0.47216880321502686, -0.018903514370322227, 0.4681764245033264, 0.559755802154541, -0.02951521798968315, 0.46725380420684814, 0.6119434833526611, -0.035027436912059784, 0.46541765332221985, 0.6545079350471497, -0.037643127143383026, 0.44126415252685547, 0.4537600874900818, -0.016859477385878563, 0.4353848397731781, 0.5212428569793701, -0.025857556611299515, 0.4269656240940094, 0.5611372590065002, -0.028631001710891724, 0.41932010650634766, 0.5962385535240173, -0.02940828911960125]",[]
"[0.45434027910232544, 0.2888871431350708, 1.509471445615418e-07, 0.5039432644844055, 0.3127889633178711, -0.014674976468086243, 0.5407938957214355, 0.3728927969932556, -0.021996598690748215, 0.5706524848937988, 0.4359610080718994, -0.025744901970028877, 0.5931938886642456, 0.4877583682537079, -0.028022432699799538, 0.5181039571762085, 0.45960742235183716, -0.020850274711847305, 0.5479719042778015, 0.5321686267852783, -0.02694234438240528, 0.5666160583496094, 0.5693956613540649, -0.02918250299990177, 0.5817680954933167, 0.6000001430511475, -0.030740274116396904, 0.49143677949905396, 0.4790742099285126, -0.016745081171393394, 0.5070481896400452, 0.5748783946037292, -0.024962494149804115, 0.5161455869674683, 0.6321119666099548, -0.029621925204992294, 0.5231326818466187, 0.6767210960388184, -0.03240345045924187, 0.46658849716186523, 0.47723808884620667, -0.012786497361958027, 0.47134390473365784, 0.5660151243209839, -0.022244345396757126, 0.46922022104263306, 0.6201135516166687, -0.027635829523205757, 0.46660470962524414, 0.6630555391311646, -0.03009401448071003, 0.4438394010066986, 0.4637182056903839, -0.008995248936116695, 0.440498948097229, 0.5361442565917969, -0.0156321432441473, 0.4330982565879822, 0.5756051540374756, -0.017050180584192276, 0.42570608854293823, 0.6097571849822998, -0.017063919454813004]",[]
"[0.46108609437942505, 0.32347166538238525, 1.5645747453163494e-07, 0.5083359479904175, 0.3439658284187317, -0.01273735798895359, 0.5453142523765564, 0.39783406257629395, -0.019905878230929375, 0.5747178792953491, 0.44694986939430237, -0.02374652959406376, 0.5956284999847412, 0.49128735065460205, -0.027088666334748268, 0.5230907201766968, 0.47882080078125, -0.02624027617275715, 0.5517910122871399, 0.5452982187271118, -0.034327346831560135, 0.5692388415336609, 0.5818718075752258, -0.03735078126192093, 0.5830363631248474, 0.6110606789588928, -0.03946507349610329, 0.49641355872154236, 0.494839608669281, -0.024543730542063713, 0.5099912285804749, 0.5888688564300537, -0.0350063219666481, 0.5198489427566528, 0.6461499929428101, -0.04022470489144325, 0.5283820629119873, 0.6890899538993835, -0.04336166754364967, 0.47019633650779724, 0.4926961064338684, -0.02269870974123478, 0.4748220145702362, 0.5767096877098083, -0.03354867175221443, 0.47518840432167053, 0.627900242805481, -0.039125703275203705, 0.4752514958381653, 0.6706412434577942, -0.041886623948812485, 0.4453165531158447, 0.4776943027973175, -0.02076156623661518, 0.44253069162368774, 0.5459924936294556, -0.028863413259387016, 0.4355740249156952, 0.5832562446594238, -0.030638951808214188, 0.42925047874450684, 0.6146793961524963, -0.03103703446686268]",[]
"[0.4654974937438965, 0.3145532011985779, 2.562892689184082e-07, 0.5127858519554138, 0.33370012044906616, -0.017284007743000984, 0.5479285717010498, 0.39173123240470886, -0.02547665685415268, 0.5761175155639648, 0.4500255882740021, -0.030148813501000404, 0.5992265343666077, 0.4988286793231964, -0.03431478515267372, 0.5263849496841431, 0.47901013493537903, -0.02276044338941574, 0.5560192465782166, 0.5486302375793457, -0.03120437078177929, 0.5759975910186768, 0.5889221429824829, -0.036083415150642395, 0.5919155478477478, 0.6216670870780945, -0.03986511752009392, 0.5005481243133545, 0.4974416196346283, -0.02029269188642502, 0.5140271186828613, 0.5887900590896606, -0.027302978560328484, 0.5227665305137634, 0.6447165012359619, -0.0327504463493824, 0.5296194553375244, 0.688908576965332, -0.0370820052921772, 0.47605082392692566, 0.4933551251888275, -0.018823741003870964, 0.48048466444015503, 0.5788562893867493, -0.029700592160224915, 0.48124608397483826, 0.633179247379303, -0.036858152598142624, 0.48109281063079834, 0.6800230741500854, -0.041528716683387756, 0.4519292116165161, 0.4764937460422516, -0.01789645105600357, 0.4469450116157532, 0.5428686738014221, -0.029813790693879128, 0.43847641348838806, 0.5835299491882324, -0.03433176130056381, 0.43070510029792786, 0.6197662949562073, -0.03664189949631691]",[]
"[0.46759942173957825, 0.2722223997116089, 9.966912273284834e-08, 0.5206012725830078, 0.3061276078224182, -0.0034155165776610374, 0.5549402236938477, 0.3749501705169678, -0.006271063815802336, 0.5807868242263794, 0.4417954981327057, -0.0070149400271475315, 0.6028926372528076, 0.491223007440567, -0.006936640944331884, 0.5299920439720154, 0.45692843198776245, -0.01827140524983406, 0.5607516169548035, 0.5385787487030029, -0.022900309413671494, 0.5783361196517944, 0.5825278759002686, -0.021520934998989105, 0.5917714238166809, 0.6168867349624634, -0.020053720101714134, 0.4999312460422516, 0.47665974497795105, -0.0192392747849226, 0.5172841548919678, 0.5790904760360718, -0.027189604938030243, 0.5262789726257324, 0.6359703540802002, -0.028681550174951553, 0.5320576429367065, 0.6781675815582275, -0.028701774775981903, 0.47104790806770325, 0.47549352049827576, -0.01889592781662941, 0.47927600145339966, 0.5752975940704346, -0.028722118586301804, 0.4816673994064331, 0.6361526250839233, -0.03164760395884514, 0.4823753833770752, 0.6847966313362122, -0.03187796473503113, 0.44551345705986023, 0.45916348695755005, -0.017350617796182632, 0.4438462257385254, 0.5389562845230103, -0.02283507026731968, 0.43924397230148315, 0.58600914478302, -0.02204096131026745, 0.43534356355667114, 0.6264969706535339, -0.020268438383936882]",[]
"[0.48014599084854126, 0.27086323499679565, 8.709866250455889e-08, 0.5319018363952637, 0.2985893487930298, -0.009725170210003853, 0.5629850029945374, 0.3685503304004669, -0.014695039950311184, 0.5853919386863708, 0.4381720721721649, -0.017626000568270683, 0.6054685115814209, 0.4908980131149292, -0.020335199311375618, 0.5367317199707031, 0.4479232132434845, -0.015000940300524235, 0.5644542574882507, 0.5205280184745789, -0.02277909778058529, 0.5829406380653381, 0.5580292344093323, -0.02768218331038952, 0.5968034863471985, 0.5850971937179565, -0.030892714858055115, 0.5072005391120911, 0.4672931432723999, -0.015696777030825615, 0.5199315547943115, 0.5651394128799438, -0.023226378485560417, 0.5287510752677917, 0.6221895217895508, -0.02898489497601986, 0.5355156064033508, 0.6643965840339661, -0.0331193283200264, 0.479682058095932, 0.4676515758037567, -0.01709933578968048, 0.48405003547668457, 0.5724985599517822, -0.028063666075468063, 0.4836423993110657, 0.6345522403717041, -0.03570426627993584, 0.48240360617637634, 0.683270275592804, -0.040212757885456085, 0.4550861120223999, 0.45516401529312134, -0.018236730247735977, 0.4476773738861084, 0.5387253761291504, -0.027942756190896034, 0.4388015866279602, 0.5871989727020264, -0.03152995556592941, 0.43103885650634766, 0.6274956464767456, -0.03326823562383652]",[]
